"f_1(U_f_1), créé par Plot Digitizer, 2.6.9"
"Date: 6/12/21, 19:11:04"


21
U_f_1,f_1
0.187567,0.833582,
1.14218,0.875994,
1.50311,0.914216,
1.86262,0.929918,
2.16134,0.961772,
2.43453,0.980784,
3.20055,0.973527,
3.44881,0.989348,
3.75704,0.976148,
4.04176,0.982277,
4.33855,0.983568,
4.62297,0.984871,
4.90678,0.976523,
5.37674,0.979237,
5.61110,0.970942,
6.13050,0.973602,
6.27915,0.978269,
6.74934,1.37512,
7.19681,1.41325,
7.76769,1.44803,
8.54329,1.59198,
